B0,,nu_xent_exp,,observed,
X,Y,X,Y,X,Y
47.774350512702284,17.27833780316689,72.50974129878509,1.848688676283551,82.90079875573794,25.49466986319274
49.51537982280324,16.996048615871906,74.07216152730362,1.8498546615287097,84.93727972229522,21.585741863914343
51.255475271303936,17.146604280301418,75.41702957210438,1.8508582943979661,86.90626655353246,28.960345585429657
52.99540970918389,17.371788367442058,105.40062057830418,1.4354133237543394,88.93901215763883,26.7827580821493
54.73531194493971,17.611898139124925,107.14103804804634,1.436712142761614,90.92487252270611,26.336478873466547
56.47479555308159,18.046041809856703,108.88145551778851,1.4380109617688888,92.92000689109975,21.59169912299555
57.97597136673767,18.933376036875757,110.62187298753067,1.4393097807761563,94.93684500338928,26.787234076810314
59.001633977472125,20.21613544230717,112.36229045727282,1.440608599783431,96.88882949519483,22.042422124938874
59.7101456496608,21.82839194650682,114.10275086318052,1.4220065060677385,98.90476596827203,27.655866853649712
60.26067763659853,23.329251105942014,115.84335081162618,1.338726446002397,100.89990033666568,22.911087103178716
60.732188294389374,24.789005595658487,117.58377901540973,1.3350500368289318,102.93077825954659,21.599169847897386
61.29674162288286,27.124471089858588,119.32419648515187,1.3363488558362064,104.86228266067297,26.34687992580833
61.673103948853225,28.684488503213558,121.06461395489404,1.3376476748434811,106.88852358189065,27.18421294142111
61.98647355297098,30.107639911816044,122.80503142463621,1.3389464938507487,108.86311345680433,31.961805918939355
62.29981363847493,31.54447319791558,124.54555623479223,1.2904930310506018,110.89482861609656,30.2618295869688
62.61309468675128,33.008670239009184,126.28610251303095,1.2320891118889747,112.88068898116387,29.815550378286055
62.92646429086905,34.43182164761168,128.02651998277312,1.2333879308962494,114.86378002579343,30.652851192498396
63.3028266168394,35.99183906096664,129.7669374525153,1.234686749903517,116.89459354587342,29.37078463542393
63.55314446187694,37.30548821981074,131.50735492225746,1.2359855689107917,118.89062955347939,24.208095110056853
64.02445832890912,38.856455226174134,133.2477723919996,1.2372843879180593,120.86058242672979,31.134938358469213
65.12876219427515,40.35648383915736,134.98838307448665,1.1490290996719779,122.85017815424803,28.957318653788427
66.2383543640289,39.4053833684286,136.72884348039435,1.1304270059562924,124.88292375835431,26.77973115050807
66.715926177187,38.05579234541968,138.46926095013652,1.13172582496356,126.87709208473484,22.48271187314002
67.19408836262114,36.432563772469976,139.49768945498414,1.132493308922406,128.84987868122397,28.09612440045042
67.35455154724661,35.392859157150205,,,130.876956838853,28.54539833937399
67.67352968798667,34.21645384131524,,,132.86094952269485,28.964789378690263
67.99280301486475,32.903229750509894,,,134.8318684379585,35.44387215399968
68.31207634174282,31.590005659704545,,,136.827067209153,30.669241705321816
68.6313496686209,30.27678156889919,,,138.90476596827202,27.655866853649748
68.95062299549896,28.963557478093833,,,,
69.26986680376322,27.664015264785526,,,,
69.74752717276273,26.273378609285494,,,,
70.22529577667952,24.832575069629648,,,,
70.78198731436385,23.478482458015982,,,,
71.49683958479712,22.15187167585161,,,,
72.76530272303795,20.8990587699464,,,,
74.50676139479421,20.417760455421735,,,,
76.24665289650862,20.662845455285343,,,,
77.98590035574011,21.206444145993444,,,,
79.7248365277715,21.894324453943042,,,,
81.46372976363737,22.602105674615622,,,,
83.20275180799982,23.250184157119286,,,,
84.94211734168651,23.739055337839233,,,,
86.68174049236637,24.10852104222137,,,,
88.4215675898325,24.38345741116943,,,,
90.16146982558831,24.623567182852298,,,,
91.90141499750965,24.84377604181219,,,,
93.64138163751375,25.05403444441061,,,,
95.38134827751786,25.264292847009024,,,,
97.12131491752196,25.474551249607444,,,,
98.86126008944329,25.694760108567337,,,,
100.60123746348877,25.900043282985017,,,,
102.3411933694515,26.11527691376417,,,,
103.68568751181077,26.289584328262585,,,,
106.29561421472727,26.61575159321849,,,,
108.03561305685552,26.811084311274676,,,,
109.77554749473546,27.036268398415324,,,,
111.51551413473959,27.246526801013736,,,,
113.25548077474369,27.456785203612156,,,,
114.995425946665,27.67699406257205,,,,
116.73539258666912,27.887252465170462,,,,
118.47535922667322,28.09751086776889,,,,
120.21530439859455,28.317719726728782,,,,
121.79713475561064,28.489163835688444,,,,
124.16978964811861,28.78834303709865,,,,
125.90971335195718,29.018502352420036,,,,
127.6496799919613,29.228760755018442,,,,
129.3896466319654,29.439019157616862,,,,
131.1295918038867,29.659228016576762,,,,
132.86955844389084,29.869486419175175,,,,
134.60952508389494,30.079744821773595,,,,
136.03313192253904,30.25280823754752,,,,
138.24760299559003,30.535206298690824,,,,
139.35489808048794,30.648804658640742,,,,
